Name,Pos,GP,Cap Hit,Length,Start Year
Arber Xhekaj,D,70.0,1300000.0,2.0,2024-25
Pat Maroon,L,68.0,1300000.0,1.0,2024-25
Nic Dowd,C,82.0,1300000.0,3.0,2022-23
Kevin Rooney,C,70.0,1300000.0,1.0,2024-25
Zach Bogosian,D,81.0,1250000.0,2.0,2024-25
Mike Reilly,D,18.0,1250000.0,1.0,2024-25
Anthony Beauvillier,C,81.0,1250000.0,1.0,2024-25
Logan Stanley,D,63.0,1250000.0,2.0,2024-25
Alexei Toropchenko,R,80.0,1250000.0,2.0,2023-24
Nils Lundkvist,D,39.0,1250000.0,1.0,2024-25
Daniil Miromanov,D,44.0,1250000.0,2.0,2024-25
Lukas Reichel,C,70.0,1200000.0,2.0,2024-25
Jon Merrill,D,70.0,1200000.0,3.0,2022-23
Sam Steel,C,79.0,1200000.0,1.0,2024-25
Connor Dewar,C,48.0,1180000.0,1.0,2024-25
Justin Barron,D,62.0,1150000.0,2.0,2024-25
Corey Perry,R,81.0,1150000.0,1.0,2024-25
Dmitry Kulikov,D,70.0,1150000.0,4.0,2024-25
Kurtis MacDermid,L,23.0,1150000.0,3.0,2024-25
Christian Fischer,R,46.0,1125000.0,1.0,2024-25
